Name,Address,Accreditation Date
Primed Pharmaceuticals LLC,"34 Industrial Way EastEatontown, NJ 07724",Reaccreditation in process
"Priority Air Express, LLC dba Priority Solutions International","100 Berkeley Dr, Ste ASwedesboro, NJ 08085",03/06/21
"Priority Healthcare Distribution, Inc dba CuraScript SD Specialty Distribution","1680 Century Center Pkwy, Ste 8Memphis, TN 38134",05/29/21
"Priority Healthcare Distribution, Inc dba CuraScript SD Specialty Distribution","2297 Southwest Blvd, Ste DGrove City, OH 43123",05/29/21
"Priority Healthcare Distribution, Inc dba CuraScript SD Specialty Distribution","2040 West Rio Salado Parkway, Suite 101ATempe, AZ 85281",05/29/21
"ProCare Pharmacy Direct, LLC dba CVS/specialty","105 Mall Blvd, Ste BMonroeville, PA 15146",12/13/22
"Prodigy Health, LLC","7901 East Riverside Drive, Ste 125Austin, TX 78744",06/29/23
Proficient Rx LP,"3607 Old Conejo RoadThousand Oaks, CA 91320",03/04/21
"Puragraft Holdings, Inc dba Puragraft","22001 Northpark Drive, Suite 700 Kingwood , TX 77339",08/05/22
"Q Pharma, Inc ","45 Horsehill Rd, Ste 103Cedar Knolls, NJ 07927",04/09/21
"QK Healthcare, Inc","35 Sawgrass DrBellport, NY 11713",02/08/22
"Quality Care Products, LLC","6920 Hall StreetHolland, OH 43528",07/25/22
"Quantum Commerce, LLC dba Quantum Rx","25076 W 6 Mile RdRedford Charter Township, MI 48240",06/30/22
"Quest Pharmaceuticals, Inc","300 East Chestnut StreetMurray, KY 42071",02/23/22
"QuVa Pharma, Inc","1075 West Park One Dr, Ste 100Sugar Land, TX 77478",06/08/21
"QuVa Pharma, Inc","5920 South General Bruce DrTemple, TX 76502",06/08/21
"QuVa Pharma, Inc","519 Route 173Bloomsbury, NJ 08804",Reaccreditation in process
"R&S Solutions, LLC","96 American Drive, Ste 100AJackson, TN 38301",03/10/22
Raya Pharmaceuticals LLC,"115 Kings Bay Road Suite CKingsland, GA 31548",12/15/22
Real Value Products Corp dba Hospital Pharmaceutical Consulting,"5100 Commerce ParkwaySan Antonio, TX 78218",09/30/22
RedPharm Drug,"6501 City West PkwyEden Prairie, MN 55344",06/10/21
"Regeneron Healthcare Solutions, Inc.","745 Old Saw Mill River RdTarrytown, NY 10591",Reaccreditation in process
"Reliable Pharmaceutical Returns, LLC","1443 Donelson Pike Nashville, TN 37217",09/29/23
RemedyRepack Inc,"625 Kolter Dr, Ste 4Indiana, PA 15701",07/15/21
Republic Pharmaceuticals LLC,"5840 Interface Drive, Ste 200Ann Arbor, MI 48103",Reaccreditation in process
"RGH Enterprises, LLC dba Cardinal Health at Home","1810 Summit Commerce ParkTwinsburg, OH 44087",12/27/20
"RGH Enterprises, LLC dba Cardinal Health at Home","1360 Madeline Ln, Ste 500Elgin, IL 60124",12/27/20
"Richie Enterprises, LLC dba Richie Pharmacal Company","119 State AveGlasgow, KY 42141",Reaccreditation in process
Rising Pharma Holdings Inc. dba Rising Pharmaceuticals ,"650 Randolph RoadSomerset, NJ 08873",10/08/21
"Ritedose Pharmaceuticals, LLC","1135 Performance PkwyColumbia, SC 29203",09/02/21
RMC Pharma Inc.,"123 Quinton Ave, Ste AMunford, TN 38058",Reaccreditation in process
"ROI CPS, LLC","3000 East Sawyer RoadRepublic, MO 65738",04/03/23
"RPS, Inc dba RPS Imaging","1815 Washington StMichigan City, IN 46360",Reaccreditation in process
Russell Group LLC dba Pharm House Supply,"2024 East Hickory Hill RoadArgyle, TX 76226",Reaccreditation in process
"Rx Reverse Distributors, Inc.","9255 US Highway 1Sebastian, FL 32958",07/05/22
RxCrossroads 3PL LLC,"1001 Cheri Way, Ste 100Louisville, KY 40118",03/05/22
RxCrossroads 3PL LLC,"5101 Jeff Commerce DrLouisville, KY 40219",06/22/21
RxCrossroads 3PL LLC,"4200 Binion Way Ste 200Mason, OH 45036",08/31/21
Saddle River Marketing Concepts,"600 Valley Health PlzParamus, NJ 07652",05/15/21
"Safco Dental Supply, LLC","1111 Corporate Grove DrBuffalo Grove, IL 60089",05/06/21
"Safecor Health, LLC","4060 Business Park DrColumbus, OH 43204",02/09/21
"Safeway Distributors, Inc.","15851 SW 41st Street, Suite 600Davie, FL 33331",Reaccreditation in process
"Sage Products, LLC","3909 Three Oaks RdCary, IL 60013",09/13/22
"Sanofi Pasteur, Inc","50 Stauffer Industrial ParkTaylor, PA 18517",Reaccreditation in process
"Sanofi Pasteur, Inc","2500 Southpoint DrForest Park, GA 30297",10/19/21
"Sanofi Pasteur, Inc","1025 Sandhill RoadReno, NV 89521",12/19/20
"Sanofi-Aventis US, LLC","2500 Southpoint DrForest Park, GA 30297",10/22/21
"Sanofi-Aventis US, LLC","1025 Sandhill RoadReno, NV 89521",12/19/20
"Sanofi-Aventis US, LLC","50 Stauffer Industrial ParkTaylor, PA 18517",Reaccreditation in process
"Santa Cruz Biotechnology, Inc dba Santa Cruz Biotechnology","3600 Dry Creek RdPaso Robles, CA 93446",Reaccreditation in process
"Sedgwick Claims Management Services, Inc","2670 Executive Dr, Ste AIndianapolis, IN 46241",04/22/23
"Sentry BioPharma Services, Inc","4605 Decatur BlvdIndianapolis, IN 46241",05/24/22
Sharps Compliance Corp,"1544 NE LoopCarthage, TX 75633",06/01/22
Skya Health,"1141 Pomona Rd, Ste E Corona, CA 92882",05/22/23
"Smart-Fill Management Group, Inc","905 N Main StAustin, MN 55912",02/25/22
SmartHealth Distribution Company,"3145 East McDowell RdPhoenix, AZ 85008",09/02/21
"Smith's Food and Drug Centers, Inc dba Peyton's Phoenix","5305 W Buckeye Rd, Ste 105Phoenix, AZ 85043",Reaccreditation in process
"Smiths Medical ASD, Inc","6250 Shier Rings RdDublin, OH 43016",06/04/21
"Smiths Medical ASD, Inc","9124 Polk Ln, Ste 101 Olive Branch, MS 38654",05/26/21
"South Pointe Wholesale, Inc","321 Matthews Mill RdGlasgow, KY 42141",Reaccreditation in process
"Southern Anesthesia & Surgical, Inc. dba ACE  Southern Surgical Solutions","One Southern CourtWest Columbia, SC 29169",05/06/22
"Southern Anesthesia & Surgical, Inc. dba ACE Southern Surgical Solutions","2308 North Sweetgum AveBroken Arrow, OK 74012",Reaccreditation in process
"Southern Anesthesia & Surgical, Inc. dba ACE Southern Surgical Solutions","1312 Capital BoulevardReno, NV 89502",10/26/21
"Spartan Stores Distribution, LLC dba SpartanNash Pharmacy Warehouse","1550 Gezon Pkwy, SW, Ste EWyoming, MI 49509",12/14/21
Spectrum Laboratory Products Inc. dba Spectrum Chemical Mfg. Corp.,"755-769-777 Jersey AvenueNew Brunswick, NJ 08901",Reaccreditation in process
"Spectrum Laboratory Products, Inc. dba Spectrum Chemical Mfg. Corp.","14422 S San Pedro StGardena, CA 90248",Reaccreditation in process
St Mary's Medical Park Pharmacy,"10860 North Mavinee DriveTucson, AZ 85737",04/05/22
"Stericycle, Inc.","1901 Pine Avenue SEWarren, OH 44483",06/30/22
SterRx LLC,"141 Idaho AvePlattsburgh, NY 12903-3987",06/10/21
"Summit SD, LLC","255 Northwest Victoria Drive, Suite ALees Summit, MO 64086",10/03/22
"Supervalu, Inc dba Advantage Logistics Midwest","533 North Mallick RdOglesby, IL 61348",09/08/21
"TAGI Pharma, Inc dba TAGI Pharma","722 Progressive Ln, Rm 205South Beloit, IL 61080",12/31/20
"Takeda Pharmaceuticals America, Inc","9200 Brookfield Ct, Ste 108Florence, KY 41042",Reaccreditation in process
"Taro Pharmaceuticals U.S.A., Inc","One Commerce DrCranbury, NJ 08512",09/01/22
"Technomed, Inc dba Genesis BioPharma Services","465 Route 17Ramsey, NJ 07446",Reaccreditation in process
Teleflex LLC,"11245 North Distribution CoveOlive Branch, MS 38654",Reaccreditation in process
"Teva Pharmaceuticals USA, Inc","111 New Britain BlvdChalfont, PA 18914",01/15/21
"Teva Pharmaceuticals USA, Inc","1090 Horsham RdNorth Wales, PA 19454",01/15/21
"The Harvard Drug Group, LLC dba Expert-Med; First Veterinary Supply","5960 E Shelby DrMemphis, TN 38141",Reaccreditation in process
"The Harvard Drug Group, LLC dba Major Pharmaceuticals","8401 Bearing Dr, Ste 100Indianapolis, IN 46268",04/22/21
"The Hibbert Company, Inc dba The Hibbert Group","890 Ships Landing WayNew Castle, DE 19720",06/04/21
"The Hibbert Company, Inc dba The Hibbert Group","400 Pennington AveTrenton, NJ 08618",12/22/20
The Hilsinger Company Parent LLC dba Hilco Vision,"3908 North 5th StreetNorth Las Vegas, NV 89032",06/08/23
The North Carolina Mutual Wholesale Drug Company,"816 Ellis RoadDurham, NC 27703",Reaccreditation in process
"TheraCom, LLC","1195 Trademark Drive, Ste 102-CReno, NV 89521",09/08/21
"Thermo-Pak Co, Inc","360 Balm CourtWood Dale, IL 60191",01/18/22
"ThermoFisher Scientific dba Fisher Bioservices, Inc.","4650 New Design Rd Ste DFrederick, MD 21703",Reaccreditation in process
"ThermoFisher Scientific dba Fisher BioServices, Inc.","14665 Rothgeb DriveRockville, MD 20850",04/13/21
"Tolmar, Inc. dba Tolmar Pharmaceuticals","1201 Cornerstone DrWindsor, CO 80550",10/02/21
"Top Rx, LLC","2950 Brother BlvdBartlett, TN 38133",02/23/22
"Top Rx, LLC","3893 Courtney Street, Ste 2Bethlehem, PA 18017",10/18/23
"Tri-anim Health Services, Inc","2241 N Plaza DrVisalia, CA 93291",01/27/21
"TRI-ANIM Health Services, Inc","1605 Zeager Rd., Ste 102Elizabethtown, PA 17022",Reaccreditation in process
"Tri-anim Health Services, Inc","2911 S Great SW Parkway Ste 250Grand Prairie, TX 75052",10/13/22
"Tri-anim Health Services, Inc","2619 Ignition Drive, Ste 3Jacksonville, FL 32218",08/29/22
"Tri-anim Health Services, Inc","1033 Collins Road Suite CGreenwood, IN 46143",08/16/22
Trinity Health Corporation dba Trinity Health,"12301 Bluffton RoadFort Wayne, IN 46809",Reaccreditation in process
"Unit Dose Solutions, Inc","860 Aviation Parkway, Suite 400-AMorrisville, NC 27560",05/25/21
Unity Med Wholesale Inc,"277 E Rowland StCovina, CA 91723",11/16/22
"UPS Supply Chain Solutions, Inc","12055 Sage Point Ct, Ste 101   Reno, NV 89506",09/05/22
"UPS Supply Chain Solutions, Inc","1910 Danielson PlMemphis, TN 38114",09/05/22
"UPS Supply Chain Solutions, Inc","13501 Independence PkwyFort Worth, TX 76117",09/05/22
"UPS Supply Chain Solutions, Inc","401 Quality CirHarrisburg, PA 17112",09/05/22
"UPS Supply Chain Solutions, Inc","4990 Aircenter CirReno, NV 89502",05/11/21
"UPS Supply Chain Solutions, Inc","1645 Satellite BlvdDuluth, GA 30097",06/15/21
"UPS Supply Chain Solutions, Inc","1860 Outer Loop RdLouisville, KY 40219",09/13/22
"UPS Supply Chain Solutions, Inc","1920 Outer Loop RdLouisville, KY 40219",09/05/22
"UPS Supply Chain Solutions, Inc","1840 Outer Loop RdLouisville, KY 40219",11/30/21
"UPS Supply Chain Solutions, Inc","11811 Landon Drive, Ste 100Mira Loma, CA 91752",12/18/20
"UPS Supply Chain Solutions, Inc","2260 Outer Loop RdLouisville, KY 40219",03/03/23
"UPS Supply Chain Solutions, Inc","2515 S Tricenter BlvdDurham, NC 27713",05/12/21
"UPS Supply Chain Solutions, Inc","1130 Commerce Blvd, Ste 100Swedesboro, NJ 08085",10/09/21
"UPS Supply Chain Solutions, Inc","2210 Outer Loop RdLouisville, KY 40219",03/21/23
"UPS Supply Chain Solutions, Inc","7 Gateway BlvdPedricktown, NJ 08067",Reaccreditation in process
"UPS Supply Chain Solutions, Inc","2000 Buford Mill Drive, Bldg 100, Ste 200Buford, GA 30519",11/09/22
"UPS Supply Chain Solutions, Inc","700 Manor Park Drive, Suite 100Columbus, OH 43228",11/21/23
"UPS Supply Chain Solutions, Inc","6200 New Cut RoadFairdale, KY 40118",12/14/21
"UPS Supply Chain Solutions, Inc.","775 East DrCarol Stream, IL 60188",03/10/22
"UPS Supply Chain Solutions, Inc.","6204 New Cut RdFairdale, KY 40118",04/03/23
"UPS Supply Chain Solutions, Inc.","300 Quality CircleHarrisburg, PA 17112",04/04/23
UPS Supply Chain Solutions. Inc,"5071 S. Preston HighwayShepherdsville, KY 40165",04/07/23
UPS Supply Chains Solutions Inc.,"5849 West Schulte Rd, Ste 107Tracy, CA 95377",03/25/23
Value Drug Company,"195 Theater DriveDuncansville, PA 16635",Reaccreditation in process
"VaxServe, Inc, a Sanofi Pasteur Co","2500 Southpoint DrForest Park, GA 30297",10/22/21
"VaxServe, Inc, a Sanofi Pasteur Co","50 Stauffer Industrial ParkTaylor, PA 18517",Reaccreditation in process
"VaxServe, Inc, a Sanofi Pasteur Company","1025 Sandhill RoadReno, NV 89521",12/19/20
"Vedco, Inc","5503 Corporate DriveSt Joseph, MO 64507",Reaccreditation in process
"Versiti Indiana, Inc dba Indiana Blood Center","3450 North Meridian StIndianapolis, IN 46208",10/28/21
"VET4U, LLC ","7020 Fly Rd, Suite 3East Syracuse, NY 13057",09/09/21
"VistaPharm, LLC","13701 66th Street NorthLargo, FL 33771",11/01/21
"VWR International, LLC","800 E Fabyan PkwyBatavia, IL 60510",04/09/21
"VWR International, LLC","2039 Centersquare RdBridgeport, NJ 08014",04/09/21
"VWR International, LLC","8711 Riggin AveVisalia, CA 93291",12/31/21
"VWR International, LLC","1050 Satellite Boulevard NWSuwanee, GA 30024",11/19/21
"Wal-Mart Stores East, LP dba Wal-Mart Pharmacy Warehouse #1","2252 North 8th StreetRogers, AR 72756",01/16/22
"Wal-Mart Stores East, LP dba Wal-Mart Pharmacy Warehouse #13","4501 Wal-Mart WayTifton, GA 31794",Reaccreditation in process
"Wal-Mart Stores East, LP dba Wal-Mart Pharmacy Warehouse #28","801 Corda BoulevardCrawfordsville, IN 47933",01/16/22
"Wal-Mart Stores East, LP dba Wal-Mart Pharmacy Warehouse #32","13231 S 11th AveHanford, CA 93230",Reaccreditation in process
"Wal-Mart Stores East, LP dba Wal-Mart Pharmacy Warehouse #46","11121 Elliott PlWilliamsport, MD 21795",Reaccreditation in process
Walgreen Company,"5100 Lake Terrace NEMount Vernon, IL 62864",03/15/22
Walgreen Company,"17500 Perris BlvdMoreno Valley, CA 92551",Reaccreditation in process
Walgreens Company,"28727 Oregon RdPerrysburg, OH 43551",Reaccreditation in process
Wedgewood Connect,"17 great oaks blvdSan Jose, CA 95119",05/15/23
Wellgistics LLC,"358 Eagles Landing DriveLakeland, FL 33810",Reaccreditation in process
"Western Wellness Solutions, LLC","1555 Doolittle Dr, Suite 170San Leandro, CA 94577",10/08/21
"Willow Birch Pharma, Inc","447 County Road 303Taylor, MS 38673",Reaccreditation in process
XGen Pharmaceuticals DJB Inc,"300 Daniel Zenker DriveHorseheads, NY 14845",05/22/22
"Yavari, LLC","8530 NW 93rd StreetMedley, FL 33166",03/15/22
YS Marketing Inc dba Numed Pharma,"265 S Pioneer BlvdSpringboro, OH 45066",Reaccreditation in process
"ZO Skin Health, Inc.","7735 S 134th St, Ste 109Omaha, NE 68138",Reaccreditation in process
